Are you currently living on campus or commuting?,Are you currently working for pay?,"At this point in the semester, how certain are you that you will remain at RIC through the end of the academic year?","Compared to your expectations before the semester, would you say your workload is:",Do you feel a sense of belonging at RIC?,Do you feel organized and prepared for your academic workload?,Have you joined or participated in any of the following activities at RIC? (Check all that apply),"How confident are you in knowing where to go for academic support (e.g., tutoring, writing center, advising)?","How confident are you in knowing where to go for personal support (e.g., counseling, wellness services, basic needs)?",How do you feel you have been making friends and building connections so far?,How well do you feel you are balancing your academic responsibilities with your work and personal commitments?,How would you describe your sense of belonging at Rhode Island College so far?,"If yes, how many hours per week are you working?","In the past 6 weeks, have you felt any of the following ? (Check all that apply)",Is there anything that would help you feel more successful at RIC right now?,"On average, how many hours per week are you currently spending in co-curricular activities (clubs, organizations, athletics, etc.)?",What has been your biggest challenge during the first six weeks?,What has been your biggest success during the first six weeks?
Commute to RIC,No,Very certain,Slightly heavier,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel a strong sense of belonging.,,Overwhelmed by coursework,,0 hours,Finding ways to study and memorize for exams.,Organizing my planner with all the due dates and having a couple of study sessions. 
Living on Campus,No,Very certain,Slightly lighter,Strongly agree,true,Attended a Campus Event,Somewhat confident,Neutral,I have made many close friends and strong connections.,Neutral,I feel a strong sense of belonging.,,"Homesick;
Overwhelmed by coursework",,0 hours,Keeping up with my course load,Making connections with others
Commute to RIC,No,Very certain,Much lighter,Strongly agree,true,Attended a Campus Event,Neutral,Not very confident,I have made some friends and connections.,Neutral,I feel a strong sense of belonging.,,Lonely,clubs I believe,0 hours,The first exam I had today,complete all the assignments in time
Commute to RIC,No,Very certain,About the same,Strongly agree,true,Attended a Campus Event,Very confident,Very confident,"I have made a few friends, but not strong connections yet.",Very well,I feel a strong sense of belonging.,,Overwhelmed by coursework,no,0 hours,I was never really the type to study during high school so now that i'm in college i've been needing to get used to making time for studying ,attending class and getting my work done 
Commute to RIC,No,Very certain,Slightly lighter,Strongly agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made many close friends and strong connections.,Very well,I feel a strong sense of belonging.,,"Lonely;
Overwhelmed by coursework",,0 hours,"Mentally prepping myself to do my assignments making, procrastination.",I've managed all my time well and have a great work-life balance.
Commute to RIC,No,Very certain,Slightly lighter,Agree,true,"Athletics (varsity, club, intramural)",Very confident,Somewhat confident,I have made many close friends and strong connections.,Very well,I feel a strong sense of belonging.,,Overwhelmed by non-academic responsibilities,no ,0 hours,no biggest challenge,Getting my school work on time and coming to class on time. 
Living on Campus,No,Very certain,Much lighter,Agree,true,Other,Very confident,Very confident,I have made many close friends and strong connections.,Very well,I feel a strong sense of belonging.,,Overwhelmed by non-academic responsibilities,nope!,0 hours,low test scores in math,getting all of my schoolwork done while still having time to have fun
Living on Campus,No,Very certain,Slightly heavier,Agree,true,Other,Very confident,Very confident,I have made many close friends and strong connections.,Very well,I feel a strong sense of belonging.,,Overwhelmed by coursework,,0 hours,"My biggest challenge has been the test/exam taking, as no matter how hard I study I can not seem to get the grades that I used to on the exams.",Keeping on top of my work and being able to finish it before the actual deadline of the work.
Commute to RIC,No,Very certain,Much lighter,Agree,true,Other,Very confident,Very confident,I have made some friends and connections.,Very well,I feel a strong sense of belonging.,,Homesick,Not ,0 hours,Yes I have to face lab chemistry a hard clases and I think I won't to pass ,Yes I was little hard  some classes but  I'm doing great 
Commute to RIC,No,Very certain,Slightly lighter,Agree,true,Other,Somewhat confident,Very confident,I have made many close friends and strong connections.,Well,I feel a strong sense of belonging.,,Overwhelmed by non-academic responsibilities,No ,0 hours,Making a good study plan. ,Time management. 
Living on Campus,No,Very certain,About the same,Agree,true,Other,Very confident,Very confident,I have made many close friends and strong connections.,Well,I feel a strong sense of belonging.,,Homesick,,0 hours,My math class ,I had enough time to study for my exams and got good grades. 
Living on Campus,No,Very certain,Too soon to tell,Strongly agree,true,Other,Very confident,Very confident,I have made many close friends and strong connections.,Well,I feel a strong sense of belonging.,,"Homesick;
Overwhelmed by coursework",Not at the moment.,0 hours,There have been some assignments were I have struggled with,Checking in and meeting with teachers. Meeting with tutors has been a big help as well.
Commute to RIC,No,Very certain,Much heavier,Strongly agree,true,Attended a Campus Event,Neutral,Neutral,I have made some friends and connections.,Well,I feel a strong sense of belonging.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities","I'm not too sure, the staff and faculty can continue being motivational and helping us get through college, with an open mindset. ",0 hours,"Being stressed out by the work overload and like whats to come, thinking too far ahead","Probably my organization and time management, like not really procrastinating. "
Commute to RIC,No,Very certain,Slightly heavier,Agree,true,Attended a Campus Event,Very confident,Very confident,I have made some friends and connections.,Well,I feel a strong sense of belonging.,,Overwhelmed by coursework,,0 hours,My biggest challenge during the first six weeks has been trying to study. ,"My biggest success during the first six weeks has been coming on time, but now it hasn't been happening starting this week because of busses."
